Title,Author,Fandom Tags,Relationship Tags,Character Tags,Freeform Tags,Summary,Chapters,Words,Latest View,Link
Are You My Family?,LadyDyDy35,"Boruto (Anime & Manga), Naruto (Anime & Manga)","Gaara/Haruno Sakura, Gaara & Shinki (Naruto), Haruno Sakura & Shinki, Shinki & Uchiha Sarada, Gaara & Haruno Sakura & Shinki & Uchiha Sarada, GaaSaku, Gaara & Haruno Sakura & Shinki","Gaara (Naruto), Haruno Sakura, Shinki (Boruto), Uchiha Sarada, Kankurou (Naruto)","Shinki-centric, Angst with a Happy Ending, Growing Up, Shinobi Politics (Naruto), Established Gaara/Sakura, GaaSaku Family, Implied Pregnancy, Uncle Kankuro, Sarada is a menace, No beta we die like Neji, Angst and Hurt/Comfort, Gaara is a good dad, Father-Son Relationship, Mother-Son Relationship","Shinki isn't dumb; he knows the Suna Council isn't pleased that he's been officially made the heir. He, Shinki, had been claimed as the Kazekage's son and was now heir to the seat. With such an important designation comes a litany of expectations. In the Kazekage office, he's expected to know who everyone is, how to talk to everyone he meets, and how Suna law works. In school, he's expected to be top of the class, get along with everyone, and keep his sister out of trouble. Unfortunately, he's falling short of expectations on all fronts.

One day, Shinki learns he's no longer expected to have the strongest claim as Father's heir, and doesn't know what he's supposed to do now.

Once an orphan, always an orphan.",1/1,"9,956",Last visited: 26 Aug 2025 (Latest version.) Visited once,https://archiveofourown.org/works/65654701
Brotherly Bonds,LadyDyDy35,"Naruto (Anime & Manga), Boruto (Anime & Manga)","Gaara/Haruno Sakura, Shinki & Uchiha Sarada, Gaara & Haruno Sakura & Shinki & Uchiha Sarada","Shinki (Boruto), Uchiha Sarada, Gaara (Naruto), Haruno Sakura, Kankurou (Naruto), Baki","Established Relationship, GaaSaku - Freeform, GaaSaku Family, Shinobi Politics (Naruto), Shinobi Slice of Life (Naruto), Angst and Hurt/Comfort, Sibling Bonding, Protective Siblings, Adopted Sibling Relationship, Uncle Kankuro, No beta we die like Neji, These kids are going to give Baki gray hair, POV Uchiha Sarada, Alternate Universe - Post-Canon","Sarada takes her duties as Shinki's younger sister very seriously.

Five times Sarada protects Shinki, and one time Shinki has to protect Sarada.",1/1,"4,999",Last visited: 26 Aug 2025 (Latest version.) Visited once,https://archiveofourown.org/works/67330183
Sharper Than a Serpent's Tooth,TheHangedMan317,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Aizawa Shouta | Eraserhead & Original Female Character(s),"Original Female Character(s), Aizawa Shouta | Eraserhead, Shinsou Hitoshi, Midoriya Izuku, Original Characters, Class 1-A (My Hero Academia), the whole gang's here, League of Villains (My Hero Academia), Yamada Hizashi | Present Mic, Hatsume Mei","tragic backstory, Torture, Parental Aizawa Shouta | Eraserhead, Healing Quirk (My Hero Academia), this is self indulgent, like extremely self indulgent, it's my fanfic and i get to choose the angst, Self-Harm, Child Soldiers, Kind Of, Hurt/Comfort, this murder child will get love and validation so help me god, will update tags as this goes on, Alternate Universe - Mineta Minoru Doesn't Exist, Mineta Minoru is Expelled from U.A. High School, Shinsou Hitoshi Replaces Mineta Minoru, Child Abuse, Regeneration Quirk (My Hero Academia), Post-Traumatic Stress Disorder - PTSD, Todoroki Enji's A+ parenting, Aizawa Shouta | Eraserhead Training Shinsou Hitoshi, Alternate Universe - Canon Divergence, Panic Attacks, Dehumanization, Trauma, Blood and Gore, Angst with a Happy Ending, Parental Yamada Hizashi | Present Mic, Minor Character Death, Podfic Available, Established Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic","Era doesn't have high hopes for her future. Truthfully, up until a few months ago there hasn't been a future; just the blurry promise of suffering to come. The journey from villain to ex-villain to vigilante has been... rough, to put it mildly. But Era can handle it. The journey from vigilante to hero-in-training? That, she has less of a grasp on. Era doesn't consider herself to be optimistic, but she is confident in her skills and her quirk, sure that her training will carry her through anything UA has to throw at her, and that in turn UA will keep her protected from the shadowy figures of her past, the threat that lurks in the corner of her eye.

If only heroes weren't so god damned nosy, stubborn, persistent. If only she could remember to keep her useless emotions in check, avoid any unnecessary attachment, save herself and others from future pain. If only her quirk would just let her die. Funny, how that would make things so much simpler.",108/?,"602,729",Last visited: 26 Aug 2025 (Latest version.) Visited 635 times,https://archiveofourown.org/works/22651081
One thing that every member of the Kazekage Clan agrees on with Gaara and one thing that every member of the Kazekage clan except Gaara agrees on (and other stories of Suna),Gerbilfriend,"Naruto, Boruto: Naruto Next Generations","Gaara & Kankurou (Naruto), Gaara & Temari (Naruto), Gaara & Shinki (Naruto), Gaara & his family","Gaara (Naruto), Temari (Naruto), Kankurou (Naruto), Yashamaru (Naruto), Karura (Naruto), Rasa (Naruto), Nara Shikamaru, Nara Shikadai, Shinki (Naruto), Yodo (Naruto), Araya (Naruto)","Family Feels, Family Dynamics","Agreeing on things can be hard, especially in a family as large and with as much history as the Kazekage Clan. However, there are somethings they can agree on.",2/2,"3,012",Last visited: 26 Aug 2025 (Latest version.) Visited once,https://archiveofourown.org/works/22245697
Shogi and Nail Polish,clarkjoekent,"Naruto, Boruto: Naruto Next Generations",Nara Shikadai & Nara Shikaku,"Nara Shikaku, Nara Shikamaru, Nara Shikadai, Akimichi Chouchou, Yamanaka Inojin","Family Bonding, Grandpa Shikaku, Alternate Universe - Canon Divergence",Chocho got a new supply of nail polish and Shikadai hates the color she uses on him. Grandpa Shikaku helps out but gets the brunt of Chocho's wrath.,1/1,"1,224",Last visited: 26 Aug 2025 (Latest version.) Visited 2 times,https://archiveofourown.org/works/28445013
Roots and shadow,Sleepynihon,Naruto (Anime & Manga),Haruno Sakura/Uchiha Sasuke,"Uchiha Sasuke, Haruno Sakura, Uchiha Itachi, Uchiha Fugaku, Uchiha Mikoto, Uchiha Sarada","Hurt/Comfort, Domestic, Possessive Uchiha Sasuke, non massacre, No Uchiha Massacre (Naruto), Uchiha Clan - Freeform, Sasusaku's son","Sasuke married Sakura against his clan’s wishes and remains fiercely protective of his wife and their children. Despite the family’s acceptance, his insecurities sometimes cause tension, but love and trust keep them strong. Together, they build a warm, resilient home in the Uchiha district.",1/1,"1,583",Last visited: 26 Aug 2025 (Latest version.) Visited once,https://archiveofourown.org/works/69126101
The Flames Within,Little_Seraphim,Naruto (Anime & Manga),"Haruno Sakura/Uchiha Madara, Haruno Sakura & Ootsutsuki Kaguya, Uchiha Sasuke/Uzumaki Naruto, Uchiha Itachi/Uchiha Izumi, Haruno Sakura & Uchiha Izumi, Haruno Sakura & Mitarashi Anko, Haruno Sakura & Uchiha Izuna, Senju Hashirama/Everyone, Haruno Sakura & Tsunade","Haruno Sakura, Inner Haruno Sakura, Uchiha Madara, Uchiha Izuna, Uchiha Tajima, Uchiha Izumi, Mitarashi Anko, Uchiha Naori, Uzumaki Naruto, Uchiha Sasuke, Hatake Kakashi, Senju Hashirama, Senju Tobirama, Anbu Commanders (Naruto), Orochimaru (Naruto), Zetsu (Naruto), Senju Touka, Uzumaki Mito, Tsunade (Naruto), Akatsuki Characters (Naruto)","BAMF Haruno Sakura, BAMF Uchiha Madara, Haruno Sakura Has Inner Sakura, Warring States Period (Naruto), Uchiha Madara-centric, Haruno Sakura-centric, Strong Female Characters, Strong Haruno Sakura, Kenjutsu User Haruno Sakura, Fuuinjutsu User Haruno Sakura, Sage Mode (Naruto), BAMF Mitarashi Anko, Zetsu is a parasite, Sarutobi Hiruzen Bashing, Shimura Danzou is His Own Warning, Shimura Clan - Freeform, Uchiha Clan (Naruto), Anbu Haruno Sakura, Prodigy Haruno Sakura, Mangekyou Sharingan (Naruto), Curse of Hatred, Ninshuu (Naruto), Hashirama has a lot of love, Protective Uchiha Madara, Protective Haruno Sakura, Female Uchiha Sasuke, Trans Female Character, Uchiha Massacre (Naruto), Epic Battles, damnatio memoriae, Character Development, pre-Academy, Slow Build, Childhood to Adulthood, Haruno Sakura is from Kirigakure | Hidden Mist Village, Team as Family, Dai-nana-han | Team 7 as Family (Naruto)","Deep in one of the many forests within Konohagakure, a young pink haired child called out for help. Lonely, abused and distraught, her words were heard and the course of history was forever changed. Haruno Sakura might have been a nobody, untouched by fate and unblessed but for her friends, for her new clan, she would become legend.

Uchiha Madara was a child of war, he had known many family members during his short life who died but this was different. Standing over the funeral pyre, Madara knew his heart would never recover. He was too weak to shoulder the burden that had belonged to the ashes and he knew it. So he prayed and the answer to his prayers would unleash a war like nothing that had come before.",74/?,"429,828",Last visited: 25 Aug 2025 (Update available.) Visited 3 times,https://archiveofourown.org/works/55178263
Hellions shouldn't be left unsupervised.,reallytiredstudent,Naruto (Anime & Manga),"Haruno Sakura & Shiranui Genma, Haruno Sakura & Uzumaki Naruto, Haruno Sakura & Umino Iruka, Shiranui Genma & Umino Iruka, Haruno Sakura & Hatake Kakashi, Haruno Sakura & Nara Shikamaru","Haruno Sakura, Shiranui Genma, Umino Iruka, Uzumaki Naruto, Hatake Kakashi, Nara Shikamaru","Haruno Sakura-centric, BAMF Haruno Sakura, POV Haruno Sakura, Mother Hen Shiranui Genma, BAMF Shiranui Genma, POV Shiranui Genma, Poison User Haruno Sakura, Haruno Sakura Has Bad Parents, Canon-Typical Violence, Canonical Child Abuse, Attempt at Humor, see we have the canon typical violence but i will often treat it as a joke so this isn't all that serious. excepts the parts that are serious, coping mechanisms of shinobi include humour alcohol and repression, i will respect that. i respect the humour. by making fun of them., Other Additional Tags to Be Added, Fix-It of Sorts","Genma punches an academy student on accident and gets stuck babysitting. Somehow that changes the course of history.

 

A/N: Listen, this is not a ‘I’m fixing the shinobi world’ sort of fix it. It’s a ‘I’m giving Sakura some ambitions, full access to her temper and a senpai that encourages murder and all shinobi are categorically unwell and they are teaching their ways to their students’. Problems are going to be solved with violence, stubbornness, the power of friendship and unhealthy coping mechanisms. And murder. We shouldn’t forget about the murder. Morals? We don’t know her. Okay Naruto knows her. He’s the only one though.
Sakura knows ‘kick ass’, ‘fuck you’ and ‘try touching my friends again and I will beat you to death with your own spine’ and not much else, and this IS going to be a problem for the whole shinobi world, yes.",4/?,"27,054",Last visited: 25 Aug 2025 (Update available.) Visited 3 times,https://archiveofourown.org/works/69065086
"""She Hates Her Body""",LinnoraBeifong,Avatar: Legend of Korra,Lin Beifong/Tenzin,"Lin Beifong, Izumi (Avatar), Tenzin (Avatar), Katara (Avatar), Bumi II (Avatar), Kya II (Avatar), Lao Beifong, Poppy Beifong, Toph Beifong, Saikhan (Avatar), Suyin Beifong","Eating Disorders, Body Image, Body Dysphoria, Bulimia, Emotional Hurt/Comfort, Grief/Mourning, Fat Shaming, Miscarriage, Unplanned Pregnancy, Anorexia, Lin Beifong-centric, Lin Beifong Needs Therapy, Young Lin Beifong, Young Lin Beifong/Tenzin, Lin Beifong has an eating disorder, Suicidal Thoughts, Implied Sexual Content, Implied/Referenced Sexual Harassment, everyone is bad at feelings, Teen Pregnancy","""Something about his expression, the way his eyebrows have risen and his eyes have narrowed in confusion makes her feel guilty. Why should she feel guilty ? She hasn’t done anything wrong.""",6/6,"6,749",Last visited: 24 Aug 2025 (Latest version.) Visited 2 times,https://archiveofourown.org/works/51166699
moon phases,AlohaSoleil,Avatar: Legend of Korra,Lin Beifong/Tenzin,"Lin Beifong, Tenzin (Avatar), Katara (Avatar)","Alternate Universe - Canon Divergence, Post-Canon, Unplanned Pregnancy, Family Drama","It's never too late to become a family.

Apparently, Lin falling pregnant at 54 isn't too late.",4/?,"12,838",Last visited: 24 Aug 2025 (Latest version.) Visited once,https://archiveofourown.org/works/57141103
